season,player_id,player_name,nationality,batting_type,bowling_type,matches,total_runs,total_balls_faced,total_wickets,total_overs,total_runs_conceded,total_mvp,mvp_std,batting_avg,true_strike_rate,bowling_avg,economy,consistency_score
2020/21,16,Irfan Pathan,India,Left-hand bat,Left-arm medium-fast,4,54,61,0,3.5,39,36.29523333333333,21.98965419475082,13.5,88.52459016393442,inf,11.142857142857142,4.54759311421419
2020/21,20,Shaun Marsh,Australia,Left-hand bat,Slow left-arm orthodox,12,312,246,0,0.0,0,488.6191,54.838226928459285,26.0,126.82926829268293,inf,0.0,1.8235454645617508
2020/21,27,Christopher Gayle,West Indies,Left-hand bat,Right-arm offbreak,3,29,37,0,0.0,0,29.45,10.00504039638688,9.666666666666666,78.37837837837837,inf,0.0,9.994962142892795
2020/21,47,Virat Kohli,India,Right-hand bat,Right-arm medium,8,365,251,0,0.0,0,618.0327,62.86914292468211,45.625,145.4183266932271,inf,0.0,1.5906054281637185
2020/21,52,Dale Steyn,South Africa,Right-hand bat,Right-arm Fast,2,1,5,2,8.1,56,65.34024390243903,29.81144942975626,0.5,20.0,28.0,6.913580246913581,3.3544159010324783
2020/21,79,Manpreet Gony,India,Right-hand bat,Right-arm medium-fast,1,0,0,1,4.0,42,18.5,,0.0,0.0,42.0,10.5,0.0
2020/21,88,Faf du Plessis,South Africa,Right-hand bat,Right-arm Leg-Break,3,121,88,0,0.0,0,188.18079999999998,44.113413109997886,40.333333333333336,137.5,inf,0.0,2.2668842184268883
2020/21,107,Mohammad Hafeez,Pakistan,Right-hand bat,Right-arm offbreak,4,176,119,0,1.0,7,306.409,81.80120206050356,44.0,147.89915966386556,inf,7.0,1.2224759231048445
2020/21,126,Rohit Sharma,India,Right-hand bat,Right-arm offbreak,3,91,63,0,0.0,0,172.7096,66.72777588420982,30.333333333333332,144.44444444444443,inf,0.0,1.4986263017896206
2020/21,142,Shikhar Dhawan,India,Left-hand bat,Right-arm offbreak,4,85,75,0,0.0,0,124.9411,39.29805220375644,21.25,113.33333333333333,inf,0.0,2.544655380920919
